link,title,description,rarity,scarcity,price
https://www.nbatopshot.com/listings/p2p/12a8288a-addc-4e5c-8af7-b3ba6e5161d4+81883ed8-b2a1-47fe-b120-e5ebe8b26a3f,P.J. TUCKER,"Layup - Nov 11 2019, Metallic Gold LE (Series 1), HOU",Rare,#/299LE,$685.00
https://www.nbatopshot.com/listings/p2p/12a8288a-addc-4e5c-8af7-b3ba6e5161d4+f7e408b6-e70e-4bcf-98d1-faab9f99242d,MONTREZL HARRELL,"Dunk - Feb 13 2020, Metallic Gold LE (Series 1), LAC",Rare,#/299LE,$824.00
https://www.nbatopshot.com/listings/p2p/7b797690-5b53-45a7-b972-bd2d5152654a+a53dc13f-3b6a-40f0-816d-5f222b239296,JAYLEN BROWN,"Handles - Dec 25 2019, Base Set (Series 1), BOS",Common,#/1354LE,$975.00
https://www.nbatopshot.com/listings/p2p/12a8288a-addc-4e5c-8af7-b3ba6e5161d4+8d3a2c69-e1fe-4074-86cd-64b3e012f1d4,TOBIAS HARRIS,"Dunk - Feb 11 2020, Metallic Gold LE (Series 1), PHI",Rare,#/299LE,"$1,250.00"
https://www.nbatopshot.com/listings/p2p/7b797690-5b53-45a7-b972-bd2d5152654a+34169e0a-8c2c-47f4-97c8-f63bbf727290,ENES KANTER,"Steal - Dec 12 2019, Base Set (Series 1), BOS",Common,#/2488LE,$108.00
https://www.nbatopshot.com/listings/p2p/7b797690-5b53-45a7-b972-bd2d5152654a+f2a3c763-f7ff-4342-a209-44a34cdf1d02,DAMIAN LILLARD,"Dunk - Oct 23 2019, Base Set (Series 1), POR",Common,#/1433LE,"$1,680.00"
https://www.nbatopshot.com/listings/p2p/2ab08547-9f62-4ff4-aff9-1bdc0de8fa3e+88bd8ad2-160d-4011-a517-22b07f1c909a,ANDRE IGUODALA,"Assist - Sep 30 2020, The Finals (Series 1), MIA",Rare,#/750LE,$688.00
https://www.nbatopshot.com/listings/p2p/7b797690-5b53-45a7-b972-bd2d5152654a+1849a19b-3e89-4c99-bce2-c404df45e1bc,KY BOWMAN,"Steal - Jan 8 2020, Base Set (Series 1), GSW",Common,#/3340LE,$133.00
https://www.nbatopshot.com/listings/p2p/2dbc545a-25a5-4208-8e89-bbb6c3e3a364+5f12f915-3ed8-4f60-8236-c88781431673,KEVIN PORTER JR.,"Dunk - Feb 9 2020, Throwdowns (Series 1), CLE",Rare,#/275LE,"$2,500.00"
https://www.nbatopshot.com/listings/p2p/12a8288a-addc-4e5c-8af7-b3ba6e5161d4+32d29dc7-8386-444a-9984-cd035134fa6d,JOSH JACKSON,"Steal - Mar 10 2020, Metallic Gold LE (Series 1), MEM",Rare,#/299LE,$599.00
